,A2C Agent 1,A2C Agent 2,SAC Agent 1,SAC Agent 2,Mean Var,djia
2025-02-14 18:30:00+00:00,1025926.7776289064,1025926.7776289064,1051030.7168718567,1051030.7168718567,972824.233115784,995464.3723426202
2025-02-14 19:30:00+00:00,1028839.5390117189,1028839.5390117189,1055187.571089386,1055187.571089386,976671.8347867436,993864.0806226846
2025-02-14 20:30:00+00:00,1031545.7774980471,1031545.7774980471,1058961.7056719055,1058961.7056719055,980165.1895608641,994169.5250674585
2025-02-18 14:30:00+00:00,1041665.620605469,1041665.620605469,1072688.5289446106,1072688.5289446106,992870.7946644321,992485.5260489266
2025-02-18 15:30:00+00:00,1044729.2372187502,1044729.2372187502,1076768.4668718567,1076768.4668718567,996647.2022950115,992322.9943774854
2025-02-18 16:30:00+00:00,1037468.8595703127,1037468.8595703127,1067388.4030901184,1067388.4030901184,987964.975978743,992817.6521951279
2025-02-18 17:30:00+00:00,1038572.3346757814,1038572.3346757814,1068809.8999162903,1068809.8999162903,989280.7193936981,992762.9808657322
2025-02-18 18:30:00+00:00,1035012.9890468752,1035012.9890468752,1064414.2677446594,1064414.2677446594,985212.1038485172,990126.5497403592
2025-02-18 19:30:00+00:00,1034837.6918066408,1034837.6918066408,1064222.8497453919,1064222.8497453919,985034.9265468144,992061.5834595773
2025-02-18 20:30:00+00:00,1033924.5169199221,1033924.5169199221,1063156.0289446106,1063156.0289446106,984047.4727461997,994534.2621820715
2025-02-19 14:30:00+00:00,1033384.4204863283,1033384.4204863283,1062545.9349809876,1062545.9349809876,983482.7672186448,991338.8232532598
2025-02-19 15:30:00+00:00,1037482.000308594,1037482.000308594,1067261.101393341,1067261.101393341,987847.1449951181,991769.6542557226
2025-02-19 16:30:00+00:00,1036559.7744257814,1036559.7744257814,1066244.5496355286,1066244.5496355286,986906.2204311817,990712.2392452252
2025-02-19 17:30:00+00:00,1042243.5187304689,1042243.5187304689,1072535.1618181458,1072535.1618181458,992728.837409937,991076.8019696327
2025-02-19 18:30:00+00:00,1040854.169167969,1040854.169167969,1071049.665053009,1071049.665053009,991353.8553834703,994717.7206781617
2025-02-19 19:30:00+00:00,1032767.1609453127,1032767.1609453127,1062465.062330841,1062465.062330841,983407.9111550075,994644.9127674034
2025-02-19 20:30:00+00:00,1032167.4632976076,1032167.4632976076,1061859.6229082337,1061859.6229082337,982847.5138901081,996000.3606389448
2025-02-20 14:30:00+00:00,1027561.9893560794,1027561.9893560794,1057136.078322052,1057136.078322052,978475.381240855,986280.8969306801
2025-02-20 15:30:00+00:00,1025185.6842413333,1025185.6842413333,1054691.1642900696,1054691.1642900696,976212.3585745466,983296.2085651051
2025-02-20 16:30:00+00:00,1034673.0351934817,1034673.0351934817,1064452.4349809876,1064452.4349809876,985247.4316022913,983406.5103700263
2025-02-20 17:30:00+00:00,1034005.9823370364,1034005.9823370364,1063766.1229082337,1063766.1229082337,984612.1782737545,981444.0101934563
2025-02-20 18:30:00+00:00,1036339.9887457278,1036339.9887457278,1066167.51698172,1066167.51698172,986834.9186842351,983580.8133803327
2025-02-20 19:30:00+00:00,1037044.8163824466,1037044.8163824466,1066892.6944719544,1066892.6944719544,987506.1460059443,985200.1136326578
2025-02-20 20:30:00+00:00,1038675.4654302981,1038675.4654302981,1068570.4237810364,1068570.4237810364,989059.0592800785,986209.9201170787
2025-02-21 14:30:00+00:00,1032078.7899542239,1032078.7899542239,1061783.2884355774,1061783.2884355774,982776.8583825597,977743.886010191
2025-02-21 15:30:00+00:00,1031850.5578985598,1031850.5578985598,1061548.4668413391,1061548.4668413391,982559.5065315955,977726.0110141366
2025-02-21 16:30:00+00:00,1030308.1254034427,1030308.1254034427,1059961.5010820618,1059961.5010820618,981090.6043792412,975900.3199537098
2025-02-21 17:30:00+00:00,1016810.088049927,1016810.088049927,1046073.7470537415,1046073.7470537415,968236.0410943633,970851.7235071196
2025-02-21 18:30:00+00:00,1003666.3871832278,1003666.3871832278,1032550.55995047,1032550.55995047,955718.9224819685,968084.9357032032
2025-02-21 19:30:00+00:00,1001467.3068609622,1001467.3068609622,1030287.9875627747,1030287.9875627747,953624.676005185,970079.4364824658
2025-02-21 20:30:00+00:00,995315.3332891848,995315.3332891848,1023958.3935991516,1023958.3935991516,947765.9773266907,969468.7219831236
2025-02-24 14:30:00+00:00,985383.167334595,985383.167334595,1013739.4651628723,1013739.4651628723,938307.2943733551,970292.3669232703
2025-02-24 15:30:00+00:00,993610.4918585208,993610.4918585208,1022204.3298174134,1022204.3298174134,946142.4085450082,972770.1029617211
2025-02-24 16:30:00+00:00,997761.3068609622,997761.3068609622,1026474.9875627747,1026474.9875627747,950095.347237892,973648.0704508527
2025-02-24 17:30:00+00:00,997909.4654302981,997909.4654302981,1026627.4237810364,1026627.4237810364,950236.4428398559,974402.9184549655
2025-02-24 18:30:00+00:00,983826.7106695559,983826.7106695559,1012138.0703264466,1012138.0703264466,936825.0366067692,973739.9740891033
2025-02-24 19:30:00+00:00,982714.9559088137,982714.9559088137,1010994.2168718567,1010994.2168718567,935766.2810592079,972237.253689094
2025-02-24 20:30:00+00:00,964407.3068609622,964407.3068609622,992157.9875627747,992157.9875627747,918331.3883322553,970294.198020427
2025-02-25 14:30:00+00:00,929126.1144781497,929126.1144781497,955858.1530901184,955858.1530901184,884732.1095354238,966837.6097590155
2025-02-25 15:30:00+00:00,935426.3597174074,935426.3597174074,962340.2996355285,962340.2996355285,890732.0115224484,968934.5647839558
